,regist_date,fuel_type,region,region_regist,whole_region_car_regist
267,2022.11,하이브리드(CNG+전기),경남,0.0,12043530.0
268,2022.11,하이브리드(LNG+전기),경남,0.0,12043530.0
269,2022.11,수소,경남,2416.0,12043530.0
270,2022.11,기타연료,경남,9506.0,12043530.0
271,2022.11,총계,경남,1887577.0,12043530.0
272,2022.11,휘발유,제주,314364.0,12043530.0
273,2022.11,경유,제주,246526.0,12043530.0
274,2022.11,엘피지,제주,56028.0,12043530.0
275,2022.11,등유,제주,0.0,12043530.0
276,2022.11,전기,제주,32227.0,12043530.0
277,2022.11,알코올,제주,0.0,12043530.0
278,2022.11,태양열,제주,0.0,12043530.0
279,2022.11,CNG,제주,6.0,12043530.0
280,2022.11,LNG,제주,0.0,12043530.0
281,2022.11,하이브리드(휘발유+전기),제주,38309.0,12043530.0
282,2022.11,하이브리드(경유+전기),제주,552.0,12043530.0
283,2022.11,하이브리드(LPG+전기),제주,333.0,12043530.0
284,2022.11,하이브리드(CNG+전기),제주,0.0,12043530.0
285,2022.11,하이브리드(LNG+전기),제주,0.0,12043530.0
286,2022.11,수소,제주,11.0,12043530.0
287,2022.11,기타연료,제주,922.0,12043530.0
288,2022.11,총계,제주,689278.0,12043530.0
